data;ticker;fechamento_b3_rs;fechamento_ajustado_rs;volume_rs
2025-01-02;PETR4;36,77;36,7700;1103499795,00
2025-01-03;PETR4;36,38;36,3800;849389006,00
2025-01-06;PETR4;36,21;36,2100;861553161,00
2025-01-07;PETR4;36,98;36,9800;1391599416,00
2025-01-08;PETR4;36,68;36,6800;898689964,00
2025-01-09;PETR4;36,84;36,8400;424513649,00
2025-01-10;PETR4;36,94;36,9400;1500133137,00
2025-01-13;PETR4;37,07;37,0700;852632281,00
2025-01-14;PETR4;36,82;36,8200;1074748525,00
2025-01-15;PETR4;37,29;37,2900;1207197054,00
2025-01-16;PETR4;37,05;37,0500;988233606,00
2025-01-17;PETR4;37,20;37,2000;1485818732,00
2025-01-20;PETR4;37,29;37,2900;518630773,00
2025-01-21;PETR4;37,30;37,3000;875290795,00
2025-01-22;PETR4;37,09;37,0900;815028261,00
2025-01-23;PETR4;36,83;36,8300;987785921,00
2025-01-24;PETR4;36,64;36,6400;593341331,00
2025-01-27;PETR4;37,18;37,1800;1103954520,00
2025-01-28;PETR4;37,13;37,1300;1025648711,00
2025-01-29;PETR4;36,90;36,9000;672416088,00
2025-01-30;PETR4;37,39;37,3900;1152753614,00
2025-01-31;PETR4;37,69;37,6900;1402101449,00
2025-02-03;PETR4;37,50;37,5000;934614307,00
2025-02-04;PETR4;37,13;37,1300;1272721896,00
2025-02-05;PETR4;36,86;36,8600;757726088,00
2025-02-06;PETR4;36,79;36,7900;645197587,00
2025-02-07;PETR4;36,58;36,5800;784097330,00
2025-02-10;PETR4;36,83;36,8300;644885702,00
2025-02-11;PETR4;36,83;36,8300;612398304,00
2025-02-12;PETR4;36,28;36,2800;1357897461,00
2025-02-13;PETR4;36,32;36,3200;555661385,00
2025-02-14;PETR4;37,44;37,4400;1499190463,00
2025-02-17;PETR4;37,67;37,6700;853126384,00
2025-02-18;PETR4;38,36;38,3600;1683503509,00
2025-02-19;PETR4;38,44;38,4400;1253113363,00
2025-02-20;PETR4;38,50;38,5000;1023316221,00
2025-02-21;PETR4;38,39;38,3900;1154871167,00
2025-02-24;PETR4;38,12;38,1200;1060942282,00
2025-02-25;PETR4;37,95;37,9500;1218042093,00
2025-02-26;PETR4;37,95;37,9500;1039918282,00
2025-02-27;PETR4;36,61;36,6100;4702489549,00
2025-02-28;PETR4;35,93;35,9300;2000419105,00
2025-03-05;PETR4;34,62;34,6200;1688096978,00
2025-03-06;PETR4;34,26;34,2600;1639541711,00
2025-03-07;PETR4;34,63;34,6300;971951909,00
2025-03-10;PETR4;34,62;34,6200;1202334230,00
2025-03-11;PETR4;34,10;34,1000;984823605,00
2025-03-12;PETR4;34,10;34,1000;688073227,00
2025-03-13;PETR4;34,44;34,4400;661565266,00
2025-03-14;PETR4;35,50;35,5000;1462059484,00
2025-03-17;PETR4;36,16;36,1600;1127973212,00
2025-03-18;PETR4;36,19;36,1900;545527424,00
2025-03-19;PETR4;36,16;36,1600;766208479,00
2025-03-20;PETR4;36,24;36,2400;1694026352,00
2025-03-21;PETR4;36,80;36,8000;2241873526,00
2025-03-24;PETR4;36,75;36,7500;747625381,00
2025-03-25;PETR4;37,04;37,0400;1042616380,00
2025-03-26;PETR4;37,39;37,3900;1006359912,00
2025-03-27;PETR4;37,67;37,6700;1074292590,00
2025-03-28;PETR4;37,43;37,4300;823964607,00
2025-03-31;PETR4;37,16;37,1600;972413294,00
2025-04-01;PETR4;37,30;37,3000;715948654,00
2025-04-02;PETR4;37,20;37,2000;629244170,00
2025-04-03;PETR4;36,00;36,0000;2372855659,00
2025-04-04;PETR4;34,55;34,5500;2992511720,00
2025-04-07;PETR4;33,18;33,1800;2873623620,00
2025-04-08;PETR4;32,00;32,0000;2037565708,00
2025-04-09;PETR4;33,30;33,3000;3433039361,00
2025-04-10;PETR4;31,23;31,2300;2268315930,00
2025-04-11;PETR4;31,85;31,8500;2061566793,00
2025-04-14;PETR4;31,73;31,7300;1792412086,00
2025-04-15;PETR4;31,00;31,0000;1824824609,00
2025-04-16;PETR4;31,00;31,0000;2279408432,00
2025-04-17;PETR4;30,85;30,8500;2029435426,00
2025-04-22;PETR4;30,92;30,9200;1284099515,00
2025-04-23;PETR4;30,57;30,5700;2219819673,00
2025-04-24;PETR4;30,43;30,4300;1873104964,00
2025-04-25;PETR4;30,52;30,5200;1085567890,00
2025-04-28;PETR4;30,40;30,4000;833151644,00
2025-04-29;PETR4;30,56;30,5600;1009026030,00
2025-04-30;PETR4;29,99;29,9900;1593787009,00
2025-05-02;PETR4;30,81;30,8100;1009616872,00
2025-05-05;PETR4;29,66;29,6600;1769439287,00
2025-05-06;PETR4;30,15;30,1500;1590576628,00
2025-05-07;PETR4;30,29;30,2900;1056203422,00
2025-05-08;PETR4;30,71;30,7100;1375268604,00
2025-05-09;PETR4;30,91;30,9100;775334596,00
2025-05-12;PETR4;31,65;31,6500;1707169088,00
2025-05-13;PETR4;32,13;32,1300;1790491479,00
