data_ex;ticker;valor_por_acao_rs
2025-04-17;PETR4;0,7481
2025-06-03;PETR4;0,9092
2025-08-22;PETR4;0,6719
2025-12-23;PETR4;0,9521
2025-02-03;ITUB4;0,0156
2025-02-18;ITUB4;1,3984
2025-03-05;ITUB4;0,0156
2025-04-01;ITUB4;0,0171
2025-05-02;ITUB4;0,0171
2025-06-02;ITUB4;0,0171
2025-06-10;ITUB4;0,3244
2025-07-01;ITUB4;0,0171
2025-08-01;ITUB4;0,0171
2025-08-19;ITUB4;0,3528
2025-09-01;ITUB4;0,0171
2025-10-01;ITUB4;0,0171
2025-11-03;ITUB4;0,0171
2025-12-01;ITUB4;0,0171
2025-12-10;ITUB4;2,1728
2025-03-10;VALE3;2,1418
2025-08-13;VALE3;1,8954
2025-12-12;VALE3;3,5818
